created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Thu Nov 09 23:59:43 +0000 2023,1722765946278891792,"On October 7, one of these upstanding non-anti-Semitic Hamas chaps called his parents and said Mother, Father, I just killed 10 Jews"" and they all celebrated together over the phone.  I'm sure he is not a fair representative of an otherwise tolerant and peaceful organisation.""",23,560,840,6035,en,1495726466,1722765946278891792,KonstantinKisin,https://twitter.com/KonstantinKisin/status/1722765946278891792,
Thu Nov 09 23:57:11 +0000 2023,1722765305988944306,It's wild how the Palestinian people are not blaming Israel. They're blaming Hamas.....   Free Palestine from Hamas.,3,1,44,145,en,1153603275306033152,1722765305988944306,WonderKing82,https://twitter.com/WonderKing82/status/1722765305988944306,
Thu Nov 09 23:56:34 +0000 2023,1722765154834592020,"@mehdirhasan I don't think the Guardian is a good source on this. There could have been many reasons why Israel rejected this deal. And we don't know them. And if this deal was even seriously on the table or just another one of Hamas false promises"".""",1,50,4,136,en,755870408470134784,1722763333076451662,karshanandrea,https://twitter.com/karshanandrea/status/1722765154834592020,mehdirhasan
Thu Nov 09 23:56:23 +0000 2023,1722765108479222193,"israel and everyone else knows there's no hamas there, just utter extermination of an identity, no headlines, no media outrage. it's just the normal thing now",2,5,939,2803,en,820759753945186304,1722765108479222193,BesDMarx,https://twitter.com/BesDMarx/status/1722765108479222193,
Thu Nov 09 23:55:30 +0000 2023,1722764884277080521,"Many of the people stridently demanding that Palestinians should apologize for atrocities committed by Hamas are the same people who insist America should never apologize for Hiroshima or Nagasaki (or My Lai or Wounded Knee or slavery or, come to think of it, anything at all).",0,4,53,132,en,1387117828197654531,1722764884277080521,JeffreyStClair3,https://twitter.com/JeffreyStClair3/status/1722764884277080521,
Thu Nov 09 23:54:50 +0000 2023,1722764716257194334,"It is THE best interview about Israel and Hamas! „Hamas are worse than Nazis!“ „Who are we, lecturing Israel?“ „We are the weak link in the west, not Israel!“ 👏🇮🇱",3,8,67,239,en,2995763609,1722764716257194334,chriguth2,https://twitter.com/chriguth2/status/1722764716257194334,
Thu Nov 09 23:54:24 +0000 2023,1722764606387446043,"🚨 FOOTAGE: THEN THERE IS NO ISRAEL""  Netanyahu comments on a statement made by United States Representative Rashida Tlaib, that was censored by the Congress for her rhetoric about the Israel-Hamas war  ""From the river to the sea means there is no Israel  This woman calls for… https://t.co/Ab5DEs6HtJ""",81,869,315,1267,en,1319287761048723458,1722764606387446043,MarioNawfal,https://twitter.com/MarioNawfal/status/1722764606387446043,
Thu Nov 09 23:54:18 +0000 2023,1722764584027906399,"The last time they were seen alive. Not long afterwards, 13 Israeli senior citizens were murdered by Hamas on Oct 7. https://t.co/Q2ZDeJTcNI",12,82,333,875,en,2161051908,1722764584027906399,AvivaKlompas,https://twitter.com/AvivaKlompas/status/1722764584027906399,
Thu Nov 09 23:54:17 +0000 2023,1722764576536617472,@IOwlex @sadthedreamer How is supporting Palestinians rights to not be genocided the same as supporting Hamas?,1,3,5,196,en,1703876513441992704,1722654324021485949,to_ven83465,https://twitter.com/to_ven83465/status/1722764576536617472,"IOwlex, sadthedreamer"
Thu Nov 09 23:53:56 +0000 2023,1722764488074539320,"The NY Times building in NYC Pro Palestinian/ Pro Hamas protesters attempt to enter the building , lucky the NYPD was there to stop them  🎥 by @LeeroyPress  For licensing email Leeroypress@gmail.com https://t.co/bdm0sAplQA",11,85,115,248,en,1486068736306167823,1722764488074539320,ViralNewsNYC,https://twitter.com/ViralNewsNYC/status/1722764488074539320,"LeeroyPress, gmail"
Thu Nov 09 23:53:14 +0000 2023,1722764314099011765,"PM Netanyahu   What will happen to Gaza? Hamas will be eliminated, and civilian government put in place. Anyone who goes around killing be terminated. The Gaza people need to be rehabilitated.   Western Universities are not teaching students how to think, only how to protest. https://t.co/fMpBbrpfZU",11,39,191,268,en,2256965582,1722764314099011765,sxdoc,https://twitter.com/sxdoc/status/1722764314099011765,
Thu Nov 09 23:52:14 +0000 2023,1722764062608773534,"@MarioNawfal It’s not acceptable. So ask Hamas! Ask Hamas why they hide behind the civilian facilities, using people as human shields? Ask why billions of 💸 are in the leading Hamas terrorists’ bank accounts? Ask why did Hamas break the peace and kill innocent people on 7 Oct?! Ceasefire and…",2,26,60,432,en,1313128625680592896,1722741221464932633,DrLiMengYAN1,https://twitter.com/DrLiMengYAN1/status/1722764062608773534,MarioNawfal
Thu Nov 09 23:52:13 +0000 2023,1722764056996860077,@GeoRebekah I understand your loyalty to your friend and how your relationship informs your knowledge of her intent but if some had yelled “all of them” in reference to Israelis there would rightfully be an uproar. If she meant only Hamas why has she not publicly clarified this?,0,1,6,668,en,2881279645,1722753572142453232,brenton222,https://twitter.com/brenton222/status/1722764056996860077,GeoRebekah
Thu Nov 09 23:51:55 +0000 2023,1722763981537042819,"It’s not acceptable. So ask Hamas! Ask Hamas why they hide behind the civilian facilities, using people as human shields? Ask why billions of 💸 are in the leading Hamas terrorists’ bank accounts? Ask why did Hamas break the peace and kill innocent people on 7 Oct?! Ceasefire and…",5,50,213,595,en,1313128625680592896,1722763981537042819,DrLiMengYAN1,https://twitter.com/DrLiMengYAN1/status/1722763981537042819,
Thu Nov 09 23:50:59 +0000 2023,1722763748673237072,🙏🇮🇱 Thank you @ElonMusk for standing with #Israel. You should also kill Hamas supporter accounts on your platform. https://t.co/NhE4bZFzOe,5,26,62,205,en,754718787237281792,1722763748673237072,Terror_Alarm,https://twitter.com/Terror_Alarm/status/1722763748673237072,ElonMusk
Thu Nov 09 23:50:53 +0000 2023,1722763721276113255,@Marx_Sys @shaTIRED the family that runs my favorite restaurant was called Hamas-lovers for making this exact same food,0,2,3,151,en,41322293,1722742262084354469,del4rel,https://twitter.com/del4rel/status/1722763721276113255,"Marx_Sys, shaTIRED"
Thu Nov 09 23:49:56 +0000 2023,1722763485203857813,Racism = accusing Hamas of doing exactly what they’re doing.  Resistance = killing all the Jews.,2,1,36,148,en,1020580332016361472,1722763485203857813,ighaworth,https://twitter.com/ighaworth/status/1722763485203857813,
Thu Nov 09 23:48:15 +0000 2023,1722763059255484505,"Little boy before Hamas.  Little boy after Hamas.   But sure, the hostages are being treated *so* well that @ICRC has felt *no need to check on them since they were kidnapped 7th October*.   Probably the wrong sort of humans for their humanitarian aid. 🙄  https://t.co/Mzma6Xu0Va",2,11,62,173,en,231494207,1722763059255484505,jobellerina,https://twitter.com/jobellerina/status/1722763059255484505,ICRC
Thu Nov 09 23:48:08 +0000 2023,1722763030235140459,"It is not that Israel targets Hamas and children stand in front of Hamas fighters.  It is the Israeli army targeting children, hoping that the Hamas fighters may be close by.  Most of the time they are not. So, only the children die.   Fight Hamas instead. https://t.co/a70leauMSA",11,21,113,126,en,820723171112448001,1722763030235140459,AlternatNews,https://twitter.com/AlternatNews/status/1722763030235140459,
Thu Nov 09 23:48:08 +0000 2023,1722763029471982072,"Israel has lashed the New York Times, Associated Press, Reuters and CNN over allegations photographers and journalists who worked at the outlets had prior knowledge"" of terror group Hamas' attacks on October 7.  https://t.co/jeniEVfC6Y""",5,50,39,132,en,16834659,1722763029471982072,SkyNewsAust,https://twitter.com/SkyNewsAust/status/1722763029471982072,
Thu Nov 09 23:47:14 +0000 2023,1722762805751763407,"*BREAKING:* Israeli parliament member Danny Danon says the photojournalists"" who took part in recording the Hamas assault will be added to the Shin Bet elimination list which includes  all those who participated in the October 7th massacre. https://t.co/ZAGvRyKw2q""",8,29,42,154,en,3117728040,1722762805751763407,VictorNakba,https://twitter.com/VictorNakba/status/1722762805751763407,
